dish_name,count,lemmas,course,protein,cooking_method
Zöldség vagy gyümölcsleves,1232,zöldség vagy gyümölcsleves,leves,vegetáriánus,
Roston csirkemell salátával,878,Roston csirkemell saláta,főétel,csirke,grillezett
"Sport szelet rántott sertés szelet, steak burgonya",519,"Sport szél rántott sertés szél , steak burgonya",főétel,sertés,rántott
Csontleves,329,Csontleves,leves,,
Bolognai spagetti,296,Bolognai spagetti,főétel,,
"Sült oldalas, - rántott csirkemell, vagy rántott karaj, - frissen készült szendvicsek",275,"sült oldalas , - rántott csirkemell , vagy ránt karaj , - friss készült szendvics",főétel,"csirke,sertés","rántott,sült"
"Rántott sajt, sült burgonya, tartármártás",271,"rántott sajt , sült burgonya , tartármártás",főétel,vegetáriánus,"rántott,sült"
Lebbencsleves,268,Lebbencsleves,leves,,
Milánói sertésborda,256,Milánói sertésborda,főétel,sertés,milánói
Gyümölcsleves,246,Gyümölcsleves,leves,,
Zöldségleves,245,Zöldségleves,leves,vegetáriánus,
Gyros tál,183,Gyros tál,főétel,,
Húsleves tésztával,177,Húsleves tészta,leves,,
Tojásleves,172,Tojásleves,leves,vegetáriánus,
Paradicsomleves,170,Paradicsomleves,leves,,
"Bacon, sajt vagy csibe burger",169,"Bac , sajt vagy csi burger",főétel,"csirke,sertés",
Orjaleves,155,Orjaleves,leves,,
Tarhonyaleves,154,Tarhonyaleves,leves,,
Gulyásleves,150,Gulyásleves,leves,marha,
Frankfurti leves,140,frankfurti leves,leves,,
Székelykáposzta,140,Székelykáposzta,főétel,,
Zöldborsóleves,136,Zöldborsóleves,leves,,
Brokkoli krémleves,125,brokkoli krémleves,leves,vegetáriánus,
Máglyarakás,123,Máglyarakás,desszert,,
Lasagne,121,lasagne,főétel,,
Rakott karfiol,120,rakott karfiol,főétel,vegetáriánus,rakott
Zöldbableves,108,Zöldbableves,leves,,
Húsleves,99,Húsleves,leves,,
Paradicsomos húsgombóc,92,Paradicsomos húsgombóc,desszert,,
Pecsenyeleves,92,Pecsenyeleves,leves,,
Brassói aprópecsenye,89,Brassói aprópecsenye,főétel,,
Káposztás tészta,84,Káposztás tészta,főétel,,
Májgombócleves,79,Májgombócleves,leves,,
Karfiolleves,76,Karfiolleves,leves,vegetáriánus,
Rakott zöldbab,74,rakott zöldbab,főétel,vegetáriánus,rakott
Meggyleves,73,Meggyleves,leves,,
"Rántott sajt, kukoricás rizs",71,"rántott sajt , kukoricás rizs",főétel,vegetáriánus,rántott
Babgulyás,71,Babgulyás,leves,marha,
Chilis bab,69,Chilis bab,főétel,vegetáriánus,
Palócgulyás,69,Palócgulyás,főétel,marha,
Jókai bableves,68,Jókai bableves,leves,,
Tarhonyás hús,67,Tarhonyás hús,főétel,,
Töltött káposzta,66,töltött káposzta,főétel,,töltött
Húsgombóc leves,66,Húsgombóc leves,leves,,
Carbonara spagetti,65,Carbonara spagetti,főétel,,
Májgaluskaleves,64,Májgaluskaleves,leves,,
Magyaros burgonyaleves,63,magyaros burgonyaleves,leves,,
"Sajttal - sonkával töltött szelet, rizzsel",63,"Sajt - sonka töltött szél , rizz",főétel,sertés,töltött
Stíriai metélt,62,stíriai metélt,főétel,,
"Sertés tokány galuskával, saláta",62,"sertés tokány galuska , saláta",főétel,sertés,
Rakott burgonya,61,rakott burgonya,főétel,,rakott
Fahéjas szilvaleves,61,fahéjas szilvaleves,leves,,
"Rántott sertés szelet, vegyes köret, saláta",61,"rántott sertés szél , vegyes köret , saláta",főétel,sertés,rántott
"Rántott sajt, rizibizi",61,"rántott sajt , rizibizi",főétel,vegetáriánus,rántott
Lencseleves,59,Lencseleves,leves,vegetáriánus,
