dish_name,count
Zöldség vagy gyümölcsleves,945
Roston csirkemell salátával,673
"Sport szelet rántott sertés szelet, steak burgonya",519
Kínálatunkat itt találja,456
"Rántott sajt, sült burgonya, tartármártás",271
Csontleves,267
Bolognai spagetti,265
Milánói sertésborda,213
Lebbencsleves,206
Zöldségleves,200
Gyümölcsleves,189
Gyros tál,142
Húsleves tésztával,134
Paradicsomleves,134
Tojásleves,134
"Bacon, sajt vagy csibe burger",130
Gulyásleves,123
Tarhonyaleves,120
Orjaleves,116
Frankfurti leves,115
Székelykáposzta,112
Zöldborsóleves,106
Brokkoli krémleves,98
Lasagne,94
Máglyarakás,93
Rakott karfiol,92
Húsleves,90
Zöldbableves,89
Pecsenyeleves,82
Brassói aprópecsenye,78
Paradicsomos húsgombóc,71
Meggyleves,71
"Sült oldalas, - rántott csirkemell, vagy rántott karaj, - frissen készült szendvicsek",70
Káposztás tészta,68
:2300ft leves: 990ft második:,62
Karfiolleves,62
Májgombócleves,61
Chilis bab,61
Palócgulyás,60
Babgulyás,59
Rakott zöldbab,59
Jókai bableves,58
Monte cristo szendvics,55
Hurka-kolbász,55
Bundás kenyér,55
Grízgaluska leves,53
Töltött káposzta,53
"Rántott sajt, kukoricás rizs",53
Tarhonyás hús,52
Kedves vendégeink,52
Carbonara spagetti,51
Magyaros burgonyaleves,51
Fahéjas szilvaleves,50
Stíriai metélt,50
Pirított tésztaleves,49
"Rántott sajt, rizibizi",49
Rakott burgonya,48
Májgaluskaleves,48
Húsgombóc leves,48
Legényfogó leves,47
"Rántott sertés szelet, vegyes köret, saláta",47
Lencseleves,47
Rakott kelkáposzta,46
"Sertés tokány galuskával, saláta",45
Korhelyleves,44
Aranygaluska,43
Hamis gulyásleves,43
Tavaszi zöldségleves,42
Mákos tészta,42
Túrós csusza,42
Sárgaborsó krémleves,41
Olasz zöldségleves,41
Szilvás gombóc,41
Erdélyi rakott káposzta,41
Megértésüket köszönjük,40
Krumplis tészta,39
Csirkeaprólék leves,39
"Sajttal - sonkával töltött szelet, rizzsel",39
Lencsegulyás,37
"Hentes tokány, tészta",36
Grízgaluskaleves,36
Sárgaborsóleves,36
Sonkás kocka,36
Friss zöldségleves,35
Nyitás február 15.-én,35
Májgaluska leves,35
Tárkonyos raguleves,35
Nyírségi gombócleves,35
"Töltött csirkecomb, petrezselymes burgonya",34
Gombaleves,33
Tejszínes - gombás csirkemell tésztával,33
Grízgombóc leves,33
Rizsfelfújt,33
Brassói,33
Tyúkhúsleves,32
"Gyros, sültburgonya, friss saláta",31
Csülökpörkölt tarhonyával,31
Burgonyaleves,31
Zúzapörkölt tésztával,31
Vegyes gyümölcsleves,29
"Rántott szelet, rizibizi",29
"Marhapörkölt tarhonyával, saláta",29
Daragaluska leves,29
Almaleves,29
Túrós palacsinta,29
"Csirkepörkölt tésztával, saláta",28
Zöldborsóleves - gyümölcsleves,28
Fokhagyma krémleves,27
Kofapecsenye tarhonyával,27
Grízes tészta,26
Tökfőzelék fasírozottal,26
Töltött paprika,26
"Burgonyafőzelék, fasírt",25
"Sajttal - sonkával töltött szelet, rizibizi",25
Bakonyi betyárleves,25
Sajtos tészta,25
Magyaros zöldborsóleves,25
Rizsleves,25
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.",25
Krémes karfiolleves,24
Bácskai rizses hús,24
Alföldi tésztaleves,24
"Halrudak, rizibizi",24
"Gyros, sültburgonya",24
Zellerkrémleves,24
"Körömpörkölt, főttburgonya",23
Sajtos - tejfölös tészta,23
Húsgombócleves,23
Zúzapörkölt tarhonyával,23
Szilvaleves,23
Ízes derelye,23
"Kakaspörkölt tésztával, saláta",22
Eperkrémleves,22
Tejfölös burgonyaleves,22
"Csikós tokány, tészta",22
Csirkepörkölt tésztával,22
Borsos tokány tészta,21
"Kelkáposzta főzelék, fasírozott",21
Rakott krumpli,21
Gyros,21
"Pacal, főttburgonya",21
Marhagulyás + barackos - túrós palacsinta,21
"Zöldborsós sertés tokány galuskával, saláta",21
"Sárgaborsó főzelék, sertéspörkölt",21
Burgonyagombóc leves,21
"Borsos tokány galuskával, saláta",20
Zöldségleves - gyümölcsleves,20
"Pacalpörkölt, sósburgonya",20
Zöldséges - húsos rakott tészta,20
Szaggatott tésztaleves,20
Leves + éhes gumis kedvence,20
"Rántott sajt, rizs",20
"Párizsi sertés szelet, vegyes köret, saláta",20
"Töltött csirkecomb, rizibizi",20
Mákos guba,20
"Pulykapörkölt tésztával, saláta",20
Gölődin leves,19
Bakonyi betyár leves,19
"Búbos hús, petrezselymes burgonya",19
"Rakott burgonya, saláta",19
Pármai rakott tészta,19
Pecsenye leves,19
"Gyümölcsfőzelék, Párizsi csirkemell",19
Diós tészta,19
Csontleves cérnametélttel,19
"Töltött csirkecomb, burgonyapüré",19
Gölődinleves,18
Csirkemáj rizottó,18
"Csülök ""Pékné"" módra, hagymás burgonya",18
"Birkapörkölt, sósburgonya",18
Palócleves,18
Erdei gyümölcsleves,18
Zöldborsó leves,18
Tárkonyos sertés raguleves,18
Marhapörkölt galuskával,18
"Sertéskaraj vadasan, tészta",18
"Sertéspörkölt tarhonyával, saláta",18
Sütőtök krémleves,18
Falusi csirkeleves,17
"Körömpörkölt, sósburgonya",17
"Zúzapörkölt tarhonyával, saláta",17
Vaníliás palacsinta,17
Tejfölös bableves,17
Borsos tokány tésztával,17
Szárnyas raguleves,17
Savanyú burgonyaleves,17
"Rántott sertésszelet, vegyes köret, saláta",17
Raguleves,17
Sárgaborsó leves,17
Rakott kel,16
"Bakonyi szelet, galuskával",16
Májgombócleves - csontleves cérnametélttel,16
Paradicsomleves betűtésztával,16
"Csikós tokány galuskával, saláta",16
Szemes bableves,16
Petrezselymes galuskaleves,16
Marhapörkölt tarhonyával,16
Csirkebecsinált leves,16
Bácskai rizseshús,16
Mákos nudli,16
"Kecskeméti aprópecsenye, tészta",15
Tavaszi leves,15
Csirkepörkölt galuska,15
Túrós csusza pörccel,15
Bakonyi sertésszelet galuskával,15
Tárkonyos sertésragu leves,15
Lencsekrém leves,15
"Csőben sült ananászos csirkemell, rizs",15
Kelkáposzta főzelék fasírozottal,15
"Sonkával töltött rántott sajt, rizibizi",15
Görög rakott burgonya,15
Magyaros gombaleves,15
"Bácskai rizses hús, saláta",15
"Meggyfőzelék, Párizsi csirke",15
"Sertéspörkölt, tarhonya, savanyúság",15
"Rántott csirkecomb, rizibizi",15
"Resztelt máj, főttburgonya",15
