dish_name,count,lemmas,course,protein,cooking_method,canonical_name
Zöldség vagy gyümölcsleves,945,zöldség vagy gyümölcsleves,leves,vegetáriánus,,gyümölcsleves
Roston csirkemell salátával,673,Roston csirkemell saláta,főétel,csirke,grillezett,roston csirkemell
"Sport szelet rántott sertés szelet, steak burgonya",519,"Sport szél rántott sertés szél , steak burgonya",főétel,sertés,rántott,hasábburgonya
Kínálatunkat ITT találja,456,kínálat ITT talál,főétel,,,Kínálatunkat ITT találja
"Rántott sajt, sült burgonya, tartármártás",271,"rántott sajt , sült burgonya , tartármártás",főétel,vegetáriánus,"rántott,sült",rántott sajt
Csontleves,267,Csontleves,leves,,,csontleves
Bolognai spagetti,265,Bolognai spagetti,főétel,,,bolognai spagetti
Milánói sertésborda,213,Milánói sertésborda,főétel,sertés,milánói,milánói sertésborda
Lebbencsleves,206,Lebbencsleves,leves,,,Lebbencsleves
Zöldségleves,200,Zöldségleves,leves,vegetáriánus,,zöldségleves
Gyümölcsleves,189,Gyümölcsleves,leves,,,gyümölcsleves
Gyros tál,142,Gyros tál,főétel,,,gyros tál
Tojásleves,134,Tojásleves,leves,vegetáriánus,,Tojásleves
Paradicsomleves,134,Paradicsomleves,leves,,,paradicsomleves
Húsleves tésztával,134,Húsleves tészta,leves,,,húsleves
"Bacon, sajt vagy csibe burger",130,"Bac , sajt vagy csi burger",főétel,"csirke,sertés",,"Bacon, sajt vagy csibe burger"
Gulyásleves,123,Gulyásleves,leves,marha,,Gulyásleves
Tarhonyaleves,120,Tarhonyaleves,leves,,,Tarhonyaleves
Orjaleves,116,Orjaleves,leves,,,Orjaleves
Frankfurti leves,115,frankfurti leves,leves,,,Frankfurti leves
Székelykáposzta,112,Székelykáposzta,főétel,,,Székelykáposzta
Zöldborsóleves,106,Zöldborsóleves,leves,,,Zöldborsóleves
Brokkoli krémleves,98,brokkoli krémleves,leves,vegetáriánus,,Brokkoli krémleves
Lasagne,94,lasagne,főétel,,,Lasagne
Máglyarakás,93,Máglyarakás,desszert,,,Máglyarakás
Rakott karfiol,92,rakott karfiol,főétel,vegetáriánus,rakott,Rakott karfiol
Húsleves,90,Húsleves,leves,,,húsleves
Zöldbableves,89,Zöldbableves,leves,,,Zöldbableves
Pecsenyeleves,82,Pecsenyeleves,leves,,,Pecsenyeleves
Brassói aprópecsenye,78,Brassói aprópecsenye,főétel,,,Brassói aprópecsenye
Meggyleves,71,Meggyleves,leves,,,gyümölcsleves
Paradicsomos húsgombóc,71,Paradicsomos húsgombóc,desszert,,,Paradicsomos húsgombóc
"Sült Oldalas, - Rántott csirkemell, vagy Rántott karaj, - Frissen készült szendvicsek",70,"sült Oldalas , - Rántott csirkemell , vagy Rántott karaj , - Friss készült szendvics",főétel,"csirke,sertés","rántott,sült",rántott csirkemell
Káposztás tészta,68,Káposztás tészta,főétel,,,káposztás tészta
:2300ft Leves: 990ft Második:,62,: 2300 ft Leves : 990 ft második :,leves,,,:2300ft Leves: 990ft Második:
Karfiolleves,62,Karfiolleves,leves,vegetáriánus,,Karfiolleves
Májgombócleves,61,Májgombócleves,leves,,,Májgombócleves
Chilis bab,61,Chilis bab,főétel,vegetáriánus,,Chilis bab
Palócgulyás,60,Palócgulyás,főétel,marha,,Palócgulyás
Rakott zöldbab,59,rakott zöldbab,főétel,vegetáriánus,rakott,Rakott zöldbab
Babgulyás,59,Babgulyás,leves,marha,,Babgulyás
Jókai bableves,58,Jókai bableves,leves,,,Jókai bableves
Monte Cristo szendvics,55,Monte Cristo szendvics,főétel,,,Monte Cristo szendvics
Hurka-Kolbász,55,Hurka-Kolbász,főétel,sertés,,Hurka-Kolbász
Bundás kenyér,55,Bundás kenyér,főétel,,bundás,Bundás kenyér
Töltött káposzta,53,töltött káposzta,főétel,,töltött,Töltött káposzta
Grízgaluska leves,53,Grízgaluska leves,leves,,,galuska
"Rántott sajt, kukoricás rizs",53,"rántott sajt , kukoricás rizs",főétel,vegetáriánus,rántott,rántott sajt
Kedves vendégeink,52,kedves vendég,főétel,,,Kedves vendégeink
