dish_name,score,lemmas
dish_name,count,dish_name
Zöldség vagy gyümölcsleves,1232,zöldség vagy gyümölcsleves
Roston csirkemell salátával,878,Roston csirkemell saláta
"Sport szelet rántott sertés szelet, steak burgonya",519,"Sport szél rántott sertés szél , steak burgonya"
Csontleves,329,Csontleves
Bolognai spagetti,296,Bolognai spagetti
"Sült oldalas, - rántott csirkemell, vagy rántott karaj, - frissen készült szendvicsek",275,"sült oldalas , - rántott csirkemell , vagy ránt karaj , - friss készült szendvics"
"Rántott sajt, sült burgonya, tartármártás",271,"rántott sajt , sült burgonya , tartármártás"
Lebbencsleves,268,Lebbencsleves
Milánói sertésborda,256,Milánói sertésborda
Gyümölcsleves,246,Gyümölcsleves
Zöldségleves,245,Zöldségleves
Gyros tál,183,Gyros tál
Húsleves tésztával,177,Húsleves tészta
Tojásleves,172,Tojásleves
Paradicsomleves,170,Paradicsomleves
"Bacon, sajt vagy csibe burger",169,"Bac , sajt vagy csi burger"
Orjaleves,155,Orjaleves
Tarhonyaleves,154,Tarhonyaleves
Gulyásleves,150,Gulyásleves
Frankfurti leves,140,frankfurti leves
Székelykáposzta,140,Székelykáposzta
Zöldborsóleves,136,Zöldborsóleves
Brokkoli krémleves,125,brokkoli krémleves
Máglyarakás,123,Máglyarakás
Lasagne,121,lasagne
Rakott karfiol,120,rakott karfiol
Zöldbableves,108,Zöldbableves
Húsleves,99,Húsleves
Paradicsomos húsgombóc,92,Paradicsomos húsgombóc
Pecsenyeleves,92,Pecsenyeleves
Brassói aprópecsenye,89,Brassói aprópecsenye
Káposztás tészta,84,Káposztás tészta
Májgombócleves,79,Májgombócleves
Karfiolleves,76,Karfiolleves
Rakott zöldbab,74,rakott zöldbab
Meggyleves,73,Meggyleves
"Rántott sajt, kukoricás rizs",71,"rántott sajt , kukoricás rizs"
Babgulyás,71,Babgulyás
Chilis bab,69,Chilis bab
Palócgulyás,69,Palócgulyás
Jókai bableves,68,Jókai bableves
Tarhonyás hús,67,Tarhonyás hús
Töltött káposzta,66,töltött káposzta
Húsgombóc leves,66,Húsgombóc leves
Carbonara spagetti,65,Carbonara spagetti
Májgaluskaleves,64,Májgaluskaleves
Magyaros burgonyaleves,63,magyaros burgonyaleves
"Sajttal - sonkával töltött szelet, rizzsel",63,"Sajt - sonka töltött szél , rizz"
Stíriai metélt,62,stíriai metélt
"Sertés tokány galuskával, saláta",62,"sertés tokány galuska , saláta"
Rakott burgonya,61,rakott burgonya
Fahéjas szilvaleves,61,fahéjas szilvaleves
"Rántott sertés szelet, vegyes köret, saláta",61,"rántott sertés szél , vegyes köret , saláta"
"Rántott sajt, rizibizi",61,"rántott sajt , rizibizi"
Lencseleves,59,Lencseleves
Krumplis tészta,58,Krumplis tészta
Pirított tésztaleves,58,pirított tésztaleves
Legényfogó leves,56,legényfogó leves
Erdélyi rakott káposzta,56,Erdélyi rakott káposzta
Grízgaluska leves,56,Grízgaluska leves
Aranygaluska,56,Aranygaluska
Grízgaluskaleves,56,Grízgaluskaleves
Hurka-kolbász,55,hurka-kolbász
Monte cristo szendvics,55,Monte cristo szendvics
Bundás kenyér,55,Bundás kenyér
Olasz zöldségleves,54,olasz zöldségleves
Rakott kelkáposzta,54,rakott kelkáposzta
Túrós csusza,53,Túrós csusza
Tavaszi zöldségleves,53,Tavaszi zöldségleves
Szilvás gombóc,53,Szilvás gombóc
Korhelyleves,53,Korhelyleves
Mákos tészta,53,mákos tészta
Csirkeaprólék leves,51,Csirkeaprólék leves
Hamis gulyásleves,51,hamis gulyásleves
Sárgaborsó krémleves,49,Sárgaborsó krémleves
Sonkás kocka,46,sonkás kocka
Tyúkhúsleves,46,Tyúkhúsleves
Sárgaborsóleves,44,Sárgaborsóleves
"Rántott szelet, rizibizi",43,"rántott szél , rizibizi"
Friss zöldségleves,43,friss zöldségleves
Brassói,43,Brassói
Tárkonyos raguleves,42,tárkonyos raguleves
"Hentes tokány, tészta",42,"hentes tokány , tészta"
Daragaluska leves,42,Daragaluska leves
Rizsfelfújt,42,Rizsfelfújt
Zellerkrémleves,41,Zellerkrémleves
Grízgombóc leves,41,Grízgombóc leves
Burgonyaleves,41,Burgonyaleves
Zöldborsóleves - gyümölcsleves,40,Zöldborsóleves - gyümölcsleves
Csülökpörkölt tarhonyával,40,Csülökpörkölt tarhonya
Lencsegulyás,40,Lencsegulyás
"Töltött csirkecomb, petrezselymes burgonya",40,"töltött csirkecomb , petrezselymes burgonya"
Gombaleves,39,Gombaleves
Vegyes gyümölcsleves,39,vegyes gyümölcsleves
Túrós palacsinta,39,Túrós palacsinta
"Gyros, sültburgonya, friss saláta",38,"gyros , sültburgonya , friss saláta"
Nyírségi gombócleves,38,nyírségi gombócleves
Fokhagyma krémleves,37,Fokhagyma krémleves
Tökfőzelék fasírozottal,37,Tökfőzelék fasírozot
Kofapecsenye tarhonyával,37,Kofapecsenye tarhonya
Zúzapörkölt tésztával,37,Zúzapörkölt tészta
Májgaluska leves,37,Májgaluska leves
Csirkepörkölt tésztával,37,Csirkepörkölt tészta
"Marhapörkölt tarhonyával, saláta",36,"Marhapörkölt tarhonya , saláta"
"Csirkepörkölt tésztával, saláta",36,"Csirkepörkölt tészta , saláta"
Tejszínes - gombás csirkemell tésztával,34,tejszínes - gombás csirkemell tészta
Grízes tészta,33,Grízes tészta
Almaleves,33,Almaleves
Sajtos tészta,33,Sajtos tészta
Krémes karfiolleves,33,krémes karfiolleves
Zöldségleves - gyümölcsleves,31,Zöldségleves - gyümölcsleves
Magyaros zöldborsóleves,31,magyaros zöldborsóleves
Rizsleves,31,Rizsleves
