lemma,frequency,rank
",",6465,1
burgonya,1422,2
rántott,1338,3
rizs,1190,4
-,1147,5
saláta,1092,6
csirkemell,1067,7
tészta,760,8
sült,744,9
sertés,699,10
párolt,553,11
:,503,12
szél,448,13
töltött,440,14
c,429,15
csirkecomb,421,16
petrezselymes,390,17
leves,387,18
sajt,323,19
rizz,307,20
rizibizi,307,21
zöldséges,266,22
törtburgonya,261,23
gyümölcsleves,238,24
hagymás,238,25
vagy,228,26
szelet,224,27
majonézes,214,28
és,211,29
gombás,187,30
sajtos,177,31
galuska,175,32
cső,175,33
csirke,174,34
tejszínes,171,35
mód,170,36
bulgur,168,37
steak,166,38
tar,162,39
ránt,155,40
káposzta,152,41
krokett,144,42
zöldség,138,43
főzelék,137,44
sertésszelet,135,45
mustáros,131,46
francia,131,47
burgonyapüré,130,48
jázmin,129,49
karaj,128,50
tekercs,127,51
sültburgonya,125,52
párizsi,125,53
kukoricás,122,54
sertéskaraj,122,55
vegyes,118,56
gomba,118,57
hús,117,58
krémleves,115,59
halfilé,115,60
karfiol,112,61
köret,110,62
spagetti,109,63
Párizsi,109,64
java,109,65
tokány,108,66
rakott,107,67
vajas,106,68
szezámmagos,101,69
fokhagymás,101,70
Sajt,100,71
oldalas,98,72
Babgulyás,98,73
csirkeszárny,97,74
tepsis,96,75
csontleves,95,76
rizzsel,95,77
raguleves,91,78
hasábburgonya,91,79
sül,90,80
friss,87,81
túrós,86,82
tartár,86,83
öntet,86,84
rántva,83,85
tarhonya,81,86
Lecsós,81,87
brokkoli,80,88
pirított,80,89
mexikói,80,90
sonka,79,91
gulyásleves,79,92
tárkonyos,78,93
Bbq,78,94
kolbász,77,95
csík,77,96
kukorica,77,97
"""",75,98
bableves,74,99
uborka,74,100
csirkemáj,73,101
mákos,72,102
magyaros,70,103
savanyúság,69,104
tejfölös,68,105
Roston,67,106
pörkölt,67,107
mártás,67,108
+,66,109
Csirkemell,66,110
Füstölt,66,111
paprikás,65,112
majonéz,65,113
tört,65,114
pulykamell,65,115
bakonyi,64,116
krumpli,64,117
Bolognai,63,118
gulyás,62,119
hal,62,120
szezámos,62,121
gombóc,60,122
jérce,60,123
fűszeres,60,124
sajt-,60,125
sütve,59,126
káposztás,58,127
palacsinta,57,128
tartármártás,56,129
frankfurti,56,130
Leves,56,131
máj,55,132
püré,54,133
jércemell,54,134
burgonyapüre,54,135
tölt,53,136
batyu,53,137
csongrádi,53,138
brokkolis,53,139
lecsós,53,140
–,52,141
Tejfölös,51,142
Kijevi,51,143
ropogós,50,144
jóasszony,50,145
Milánói,49,146
sertésborda,49,147
húsos,49,148
tengeri,49,149
flekk,49,150
sertésmáj,48,151
kroket,48,152
Sajtos,47,153
Bleu,47,154
füstölt,47,155
rizses,46,156
cérnametélt,46,157
derely,45,158
b,45,159
rost,45,160
Sárgaborsó,44,161
Sertéskaraj,44,162
filé,44,163
kompót,44,164
fahéjas,43,165
csusza,42,166
nokedli,42,167
rak,42,168
fasírt,41,169
rizottó,41,170
velő,41,171
barack,41,172
hekk,41,173
grillezett,41,174
bunda,41,175
nudli,40,176
hamis,39,177
házi,39,178
Bakonyi,39,179
Orly,39,180
Sertés,39,181
sertéspörkölt,38,182
vadas,38,183
rizzs,38,184
Zöldbabfőzelék,38,185
aprópecsenye,36,186
sósburgonya,36,187
Holstein,36,188
joghurtos,36,189
ragu,36,190
burgonyás,36,191
metélt,35,192
csül,35,193
tarhony,35,194
Stefánia,35,195
vagdalt,34,196
camember,34,197
csirkeragu,34,198
