canonical_name,variant_name,match_type
roston csirkemell,"1 690.- jégsaláta, paprika, paradicsom, uborka, reszelt parmezán és mozzarella, ezersziget öntet, extrudált kenyér kocka, roston csirkemell",curated
rántott csirkemell,"1 690.- jégsaláta, uborka, zöld kaliforniai paprika, rukkola, madársaláta, retekcsíra, joghurtos vinagrette öntet, cornflakes-es rántott csirkemell",curated
hasábburgonya,"1. sajttal töltött csirkemell, hasáb burgonya, joghurtos saláta. 1 890.- 2. rántott camembert, krokett, áfonya lekvár.",curated
hasábburgonya,"200 gr kézműves marhahús pogácsa, cheddar sajttal töltve sült krumplival 2790.",curated
hasábburgonya,"A lecsós tarja, sült krumplival b csk burger, 0,33l üdítővel",curated
rizibizi,A. menü: sült csirkecomb rizibizivel,curated
csirkepörkölt,"A. menü: tejfölös csirke pörkölt, tésztával 2390.- b. menü: sajtburger, 0,33 üdítővel 2390.",curated
csirkepörkölt,"A. menü: tejfölös csirke pörkölt, tésztával b. menü: Bbq burger",curated
csirkepörkölt,"A. töltött kàposzta b. czigány lecsó, csirke pörkölttel, tépett tésztával",curated
húsleves,Alföldi babgulyás - tyúkhúsleves,curated
galuska,Alföldi gulyás - grízes metélt vagy tojásos nokedli,curated
túrós csusza,"Alföldi gulyás - tepsis túrós csusza, prézlis tészta",curated
káposztás tészta,"Alföldi gulyásleves - máglyarakás, káposztás tészta",curated
káposztás tészta,"Alföldi gulyásleves - mákos guba, káposztás tészta",curated
káposztás tészta,"Alföldi gulyásleves - sült derelye öntettel, káposztás tészta",curated
burgonyapüré,"Alföldi rostélyos, törtburgonya",curated
"Párizsi csirkemell, almafőzelék","Almafőzelék, Párizsi csirkemell",auto
"Párizsi sertésszelet, almafőzelék","Almafőzelék, Párizsi sertésszelet",auto
"Almafőzelék, Párizsi szelettel","Almafőzelék, Párizsi szelet",auto
"Rántott csirkecomb, almafőzelék","Almafőzelék, rántott csirkecomb",auto
"Sült csirkecomb, almafőzelék","Almafőzelék, sült csirkecomb",auto
"Sült csirkecomb, almafőzelék","Almafőzelék, sült csirkecombbal",auto
gyümölcsleves,Almaleves,curated
gyümölcsleves,Almaleves eper darabbal,curated
gyümölcsleves,Almaleves eper darabokkal,curated
gyümölcsleves,Almaleves eperdarabokkal,curated
"Almaszósz, Párizsi szelettel","Almaszósz, Párizsi szelet",auto
burgonyapüré,Almával füstölt sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával sajttal sült csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával és sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,"Ananászos csirkemell, burgonyapüré",curated
milánói sertésborda,"Ananászos csirkemell, párolt rizs c: Milánói sertésborda",curated
petrezselymes burgonya,"Ananászos csirkemell, párolt rizs c: sertés szelet Orly módra- rántott almakarika, petrezselymes burgonya, saláta",curated
galuska,Arany galuska,curated
galuska,Aranygaluska,curated
galuska,Aranygaluska - krumplis tészta - mákos nudli,curated
galuska,Aranygaluska - káposztás tészta - lekváros gombóc,curated
galuska,Aranygaluska - sajtos tészta - szilvás gombóc,curated
galuska,"Aranygaluska, vanília sodó",curated
galuska,"Aranygaluska, vanília sodóval",curated
galuska,"Aranygaluska, vaníliasodóval",curated
gyümölcsleves,Arató gulyás - gyümölcsleves,curated
burgonyapüré,Aszalt szilvás csirkemell rántva burgonyapürével,curated
burgonyapüré,Aszalt szilvás rántott karaj tört burgonya,curated
hasábburgonya,"Aszalt szilvával töltött csirkemell, steak burgonya",curated
burgonyapüré,Aszalt szilvával töltött karaj burgonyapürével,curated
rántott csirkemell,Aszalt szilvával töltött rántott csirkemell,curated
burgonyapüré,Aszaltszilvával göngyölt karaj burgonyapürével,curated
sertéspörkölt,"Babfőzelék, sertéspörkölt",curated
galuska,Babgulyás + somlói galuska,curated
káposztás tészta,"Babgulyás - alma fahéjas gombóc, káposztás tészta",curated
galuska,"Babgulyás - aranygaluska, burgonyás tészta",curated
galuska,"Babgulyás - aranygaluska, káposztás tészta",curated
káposztás tészta,"Babgulyás - barackos gombóc, káposztás tészta",curated
túrós csusza,Babgulyás - diós metélt vagy túrós tészta,curated
